date,kyur,ohur,paur,wvur,usur
01/01/2008,5.4,5.5,4.7,4.5,5
02/01/2008,5.4,5.5,4.7,4.4,4.9
03/01/2008,5.5,5.6,4.8,4.3,5.1
04/01/2008,5.7,5.8,4.8,4.2,5
05/01/2008,5.9,6,4.9,4.1,5.4
06/01/2008,6.2,6.3,5,4.1,5.6
07/01/2008,6.4,6.5,5.2,4,5.8
08/01/2008,6.7,6.7,5.4,4.1,6.1
09/01/2008,6.9,6.9,5.6,4.2,6.1
10/01/2008,7.3,7.2,5.9,4.4,6.5
11/01/2008,7.8,7.6,6.2,4.8,6.8
12/01/2008,8.4,8.1,6.6,5.3,7.3
01/01/2009,9,8.699999999999999,7,5.8,7.8
02/01/2009,9.6,9.300000000000001,7.4,6.4,8.300000000000001
03/01/2009,10,9.800000000000001,7.7,7,8.699999999999999
04/01/2009,10.4,10.2,7.9,7.5,9
05/01/2009,10.6,10.4,8.1,7.9,9.4
06/01/2009,10.7,10.5,8.199999999999999,8.1,9.5
07/01/2009,10.7,10.6,8.199999999999999,8.199999999999999,9.5
08/01/2009,10.6,10.6,8.300000000000001,8.199999999999999,9.6
09/01/2009,10.6,10.7,8.300000000000001,8.199999999999999,9.800000000000001
10/01/2009,10.6,10.8,8.4,8.300000000000001,10
11/01/2009,10.6,10.9,8.5,8.4,9.9
12/01/2009,10.6,11,8.6,8.5,9.9
01/01/2010,10.6,11.1,8.699999999999999,8.6,9.800000000000001
02/01/2010,10.6,11,8.800000000000001,8.6,9.800000000000001
03/01/2010,10.5,10.9,8.800000000000001,8.6,9.9
04/01/2010,10.3,10.6,8.699999999999999,8.5,9.9
05/01/2010,10.2,10.4,8.6,8.5,9.6
06/01/2010,10,10.1,8.5,8.5,9.4
07/01/2010,9.9,10,8.300000000000001,8.5,9.4
08/01/2010,9.9,9.9,8.300000000000001,8.6,9.5
09/01/2010,10,9.9,8.199999999999999,8.699999999999999,9.5
10/01/2010,10,9.800000000000001,8.199999999999999,8.800000000000001,9.4
11/01/2010,10,9.699999999999999,8.1,8.800000000000001,9.800000000000001
12/01/2010,10,9.5,8,8.800000000000001,9.300000000000001
01/01/2011,9.800000000000001,9.300000000000001,7.9,8.699999999999999,9.1
02/01/2011,9.699999999999999,9.1,7.9,8.5,9
03/01/2011,9.6,9,7.8,8.300000000000001,9
04/01/2011,9.6,9,7.8,8.199999999999999,9.1
05/01/2011,9.5,9,7.9,8.1,9
06/01/2011,9.5,9.1,8,8,9.1
07/01/2011,9.5,9.1,8,8,9
08/01/2011,9.4,9,8.1,8,9
09/01/2011,9.300000000000001,8.800000000000001,8,7.9,9
